"Subject","Set/Attempt","Question Number","Total Times Answered","Total Times Correct","Percentage"
"Science","1","17","270","270","100%"
"Science","1","16","270","270","100%"
"Science","1","15","270","270","100%"
"Science","1","14","270","269","100%"
"Science","1","13","270","270","100%"
"Science","1","12","270","267","99%"
"Science","1","11","270","270","100%"
"Science","1","10","270","264","98%"
"Science","1","9","270","195","72%"
"Science","1","8","270","218","81%"
"Science","1","7","270","268","99%"
"Science","1","6","270","266","99%"
"Science","1","5","270","268","99%"
"Science","1","4","270","269","100%"
"Science","1","3","270","268","99%"
"Science","1","2","270","258","96%"
"Science","1","1","270","267","99%"
"Science","1","18","270","269","100%"
"Science","1","19","270","269","100%"
"Science","1","20","270","268","99%"
"Science","2","20","0","0","-"
"Science","2","17","0","0","-"
"Science","2","18","0","0","-"
"Science","2","19","0","0","-"
"Science","2","16","0","0","-"
"Science","2","15","0","0","-"
"Science","2","14","0","0","-"
"Science","2","13","0","0","-"
"Science","2","12","0","0","-"
"Science","2","10","0","0","-"
"Science","2","11","0","0","-"
"Science","2","8","0","0","-"
"Science","2","9","0","0","-"
"Science","2","7","0","0","-"
"Science","2","6","0","0","-"
"Science","2","5","0","0","-"
"Science","2","3","0","0","-"
"Science","2","2","0","0","-"
"Science","2","1","0","0","-"
"Science","2","4","0","0","-"
"Science","4","16","0","0","-"
"Science","4","17","0","0","-"
"Science","4","18","0","0","-"
"Science","4","19","0","0","-"
"Science","4","20","0","0","-"
"Refresher","1","24","811","721","89%"
"Refresher","1","22","811","804","99%"
"Refresher","1","23","811","798","98%"
"Refresher","1","20","811","803","99%"
"Refresher","1","21","811","753","93%"
"Refresher","1","18","811","805","99%"
"Refresher","1","19","811","748","92%"
"Refresher","1","17","811","806","99%"
"Refresher","1","16","811","810","100%"
"Refresher","1","15","811","803","99%"
"Refresher","1","13","812","544","67%"
"Refresher","1","14","812","681","84%"
"Refresher","1","12","813","811","100%"
"Refresher","1","11","813","751","92%"
"Refresher","1","10","813","804","99%"
"Refresher","1","9","813","804","99%"
"Refresher","1","8","813","749","92%"
"Refresher","1","5","816","736","90%"
"Refresher","1","6","814","783","96%"
"Refresher","1","7","813","747","92%"
"Refresher","1","25","811","800","99%"
"Refresher","1","4","817","814","100%"
"Refresher","1","2","818","700","86%"
"Refresher","1","3","818","701","86%"
"Refresher","1","1","818","809","99%"
"Refresher","2","25","15","10","67%"
"Refresher","2","24","15","15","100%"
"Refresher","2","21","15","14","93%"
"Refresher","2","22","15","15","100%"
"Refresher","2","23","15","10","67%"
"Refresher","2","19","15","14","93%"
"Refresher","2","20","15","15","100%"
"Refresher","2","18","15","15","100%"
"Refresher","2","16","15","14","93%"
"Refresher","2","17","15","15","100%"
"Refresher","2","15","15","10","67%"
"Refresher","2","12","15","10","67%"
"Refresher","2","14","15","14","93%"
"Refresher","2","13","15","14","93%"
"Refresher","2","11","15","15","100%"
"Refresher","2","10","15","10","67%"
"Refresher","2","9","15","15","100%"
"Refresher","2","8","15","12","80%"
"Refresher","2","6","15","14","93%"
"Refresher","2","7","15","13","87%"
"Refresher","2","1","15","14","93%"
"Refresher","2","2","15","13","87%"
"Refresher","2","3","15","14","93%"
"Refresher","2","5","15","12","80%"
"Refresher","2","4","15","15","100%"
"Administration","2","20","48","44","92%"
"Administration","2","19","48","47","98%"
"Administration","2","18","48","48","100%"
"Administration","2","12","48","44","92%"
"Administration","2","13","48","45","94%"
"Administration","2","14","48","41","85%"
"Administration","2","17","48","39","81%"
"Administration","2","16","48","40","83%"
"Administration","2","15","48","36","75%"
"Administration","2","11","48","46","96%"
"Administration","2","10","48","36","75%"
"Administration","2","9","48","44","92%"
"Administration","2","8","48","47","98%"
"Administration","2","6","48","37","77%"
"Administration","2","7","48","41","85%"
"Administration","2","4","48","47","98%"
"Administration","2","5","48","46","96%"
"Administration","2","2","48","31","65%"
"Administration","2","3","48","44","92%"
"Administration","2","1","48","40","83%"
"Administration","1","20","282","166","59%"
"Administration","1","18","282","221","78%"
"Administration","1","19","282","230","82%"
"Administration","1","15","282","262","93%"
"Administration","1","17","282","232","82%"
"Administration","1","16","282","277","98%"
"Administration","1","14","283","243","86%"
"Administration","1","13","283","277","98%"
"Administration","1","12","283","247","87%"
"Administration","1","11","282","217","77%"
"Administration","1","10","283","262","93%"
"Administration","1","9","283","270","95%"
"Administration","1","8","284","256","90%"
"Administration","1","6","284","282","99%"
"Administration","1","7","283","268","95%"
"Administration","1","4","284","238","84%"
"Administration","1","5","283","248","88%"
"Administration","1","2","285","230","81%"
"Administration","1","3","285","280","98%"
"Administration","1","1","286","233","81%"
"English Language Arts","1","20","273","230","84%"
"English Language Arts","1","5","274","209","76%"
"English Language Arts","1","17","273","271","99%"
"English Language Arts","1","16","273","271","99%"
"English Language Arts","1","19","273","268","98%"
"English Language Arts","1","18","273","262","96%"
"English Language Arts","1","15","273","264","97%"
"English Language Arts","1","14","274","265","97%"
"English Language Arts","1","11","274","267","97%"
"English Language Arts","1","12","274","265","97%"
"English Language Arts","1","13","274","268","98%"
"English Language Arts","1","10","274","269","98%"
"English Language Arts","1","9","274","269","98%"
"English Language Arts","1","8","274","268","98%"
"English Language Arts","1","6","274","269","98%"
"English Language Arts","1","7","274","274","100%"
"English Language Arts","1","4","274","242","88%"
"English Language Arts","1","1","276","266","96%"
"English Language Arts","1","2","275","267","97%"
"English Language Arts","1","3","275","269","98%"
"English Language Arts","2","20","6","4","67%"
"English Language Arts","2","17","6","5","83%"
"English Language Arts","2","18","6","4","67%"
"English Language Arts","2","19","6","4","67%"
"English Language Arts","2","16","6","6","100%"
"English Language Arts","2","15","6","6","100%"
"English Language Arts","2","14","6","6","100%"
"English Language Arts","2","12","6","5","83%"
"English Language Arts","2","13","6","6","100%"
"English Language Arts","2","11","6","6","100%"
"English Language Arts","2","10","6","6","100%"
"English Language Arts","2","9","6","4","67%"
"English Language Arts","2","7","6","4","67%"
"English Language Arts","2","8","6","5","83%"
"English Language Arts","2","6","6","5","83%"
"English Language Arts","2","5","6","6","100%"
"English Language Arts","2","4","6","5","83%"
"English Language Arts","2","1","6","4","67%"
"English Language Arts","2","2","6","5","83%"
"English Language Arts","2","3","6","6","100%"
"English Language Arts","3","11","0","0","-"
"English Language Arts","3","12","0","0","-"
"English Language Arts","3","13","0","0","-"
"English Language Arts","3","14","0","0","-"
"English Language Arts","3","15","0","0","-"
"Mathematics","2","17","2","2","100%"
"Mathematics","2","16","2","2","100%"
"Mathematics","2","15","2","2","100%"
"Mathematics","2","14","2","2","100%"
"Mathematics","2","13","2","2","100%"
"Mathematics","2","12","2","1","50%"
"Mathematics","2","11","2","2","100%"
"Mathematics","2","10","2","2","100%"
"Mathematics","2","9","2","2","100%"
"Mathematics","2","8","2","2","100%"
"Mathematics","2","7","2","2","100%"
"Mathematics","2","6","2","2","100%"
"Mathematics","2","5","2","2","100%"
"Mathematics","2","4","2","2","100%"
"Mathematics","2","3","2","2","100%"
"Mathematics","2","2","2","2","100%"
"Mathematics","2","1","2","2","100%"
"Mathematics","2","18","2","2","100%"
"Mathematics","2","19","2","1","50%"
"Mathematics","2","20","2","2","100%"
"Mathematics","1","17","270","270","100%"
"Mathematics","1","16","270","257","95%"
"Mathematics","1","15","270","265","98%"
"Mathematics","1","14","270","269","100%"
"Mathematics","1","13","270","265","98%"
"Mathematics","1","12","270","260","96%"
"Mathematics","1","11","270","264","98%"
"Mathematics","1","10","270","228","84%"
"Mathematics","1","9","270","268","99%"
"Mathematics","1","8","270","264","98%"
"Mathematics","1","7","270","265","98%"
"Mathematics","1","6","270","258","96%"
"Mathematics","1","5","270","238","88%"
"Mathematics","1","4","270","262","97%"
"Mathematics","1","3","270","267","99%"
"Mathematics","1","2","270","260","96%"
"Mathematics","1","1","270","258","96%"
"Mathematics","1","18","270","268","99%"
"Mathematics","1","19","270","268","99%"
"Mathematics","1","20","270","244","90%"
